year,cat_sub,rate
2015,TDISM,Inf
2015,TDMLK,Inf
2015,TGRUN,Inf
2015,TMPSS,Inf
2015,TPROD,560000
2015,TUTMK,Inf
2015,TVELF,74200
2015,TATIL,Inf
2016,TAKTL,Inf
2016,TBEIT,Inf
2016,TDISE,Inf
2016,TDISG,Inf
2016,TDISK,Inf
2016,TDISM,Inf
2016,TDMLK,Inf
2016,TGRUN,Inf
2016,TMPSS,Inf
2016,TPROD,560000
2016,TUTMK,Inf
2016,TVELF,74200
2016,TATIL,Inf
2017,TAKTL,Inf
2017,TBEIT,Inf
2017,TDISE,Inf
2017,TDISG,Inf
2017,TDISK,Inf
2017,TDISM,Inf
2017,TDMLK,Inf
2017,TGRUN,Inf
2017,TMPSS,Inf
2017,TPROD,560000
2017,TUTMK,Inf
2017,TVELF,74200
2017,TATIL,Inf
2018,TAKTL,Inf
2018,TBEIT,Inf
2018,TDISE,Inf
2018,TDISG,Inf
2018,TDISK,Inf
2018,TDISM,Inf
2018,TDMLK,Inf
2018,TGRUN,Inf
2018,TMPSS,Inf
2018,TPROD,560000
2018,TUTMK,Inf
2018,TVELF,78700
2018,TATIL,Inf
